bedrooms,baths,price,area_sqft,kitchens,store_rooms,drawing_room,dining_room,lounge_or_sitting_room,laundry_room,study_room,prayer_room,powder_room,gym,steam_room,other_rooms,luxury_score,furnishing_score,floors,agePossession,property_type,has_servant_room
3.0,4.0,2.5,2720.0,1.0,1.0,1,1,1,1,1,1,0,1,1,0,143.0,32,3.0,Relatively New,0,1
3.0,4.0,3.25,2720.0,1.0,1.0,1,1,1,1,1,1,0,0,1,0,149.0,39,3.0,Relatively New,0,1
3.0,4.0,3.0,2720.0,1.0,1.0,1,1,1,1,1,1,1,1,1,0,179.0,49,3.0,Relatively New,0,1
3.0,3.0,5.65,2720.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,170.0,39,1.0,Relatively New,0,1
3.0,3.0,2.4,2720.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,152.0,49,3.0,Old Property,0,1
3.0,3.0,2.95,2720.0,1.0,1.0,1,1,1,1,1,1,1,1,1,0,184.0,49,3.0,Relatively New,0,1
3.0,3.0,3.1,2720.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,184.0,49,2.0,New Property,0,1
3.0,4.0,3.1,2720.0,1.0,1.0,1,1,1,1,1,1,1,1,1,0,179.0,49,2.0,New Property,0,1
3.0,5.0,3.1,2720.0,1.0,1.0,1,1,1,1,0,0,1,1,0,0,149.0,37,2.0,New Property,0,1
3.0,4.0,3.0,2720.0,1.0,1.0,1,1,1,1,1,1,1,1,1,0,179.0,49,2.0,New Property,0,1
3.0,4.0,3.0,2720.0,1.0,1.0,1,1,1,1,1,1,1,1,1,0,179.0,49,2.0,New Property,0,1
